official,Advertising & Marketing Services,Advertising Agencies,Aerospace & Defense,Aerospace/Defense,Agricultural Inputs,Agriculture,Airlines,Apparel Manufacturing,Apparel Retail,Application Software,Asset Management,Auto & Truck Dealerships,Auto Manufacturers,Auto Parts,Automotive,Autos,Banking,Banks,Banks - Regional,Banks--Diversified,Banks—Diversified,Banks—Regional,Beverages,Beverages - Alcoholic,Beverages - Non-Alcoholic,Beverages – Alcoholic,Beverages—Brewers,Beverages—Non-Alcoholic,Biotechnology,Broadcasting,Brokers & Exchanges,Building Materials,Building Products & Equipment,Business Services,Capital Markets,Chemicals,Coal,Communication Equipment,Communication Services,Computer Hardware,Computer Software & Services,Confectioners,Conglomerates,Congolmerates,Consulting & Outsourcing,Consulting Services,Consumer Electronics,Consumer NonDurables,Consumer Packaged Goods,Credit Services,Cryptocurrency,Defense,Diagnostics & Research,Discount Stores,Diversified Financial Services,Diversified Services,Drug Manufacturers,Drug Manufacturers - Specialty & Generic,Drug Manufacturers—General,Drug Manufacturers—Speciality and Generic,Drug Manufacturers—Specialty & Generic,Education,Electric Utilities,Electrical Equipment & Parts,Electronic Components,Electronic Gaming & Multimedia,Electronics,Employment Services,Energy,Energy & Utilities,Engineering & Construction,Entertainment,Farm & Construction Machinery,Farm & Heavy Construction Machinery,Farm Products,Financial Conglomerates,Financial Data & Stock Exchanges,Financial Services,Food Distribution,Food stores,Footwear & Accessories,Forest Products,Fund,"Furnishings, Fixtures & Appliances",Gambling,Gold,Grocery Stores,Hardware,Health Care Equipment & Supplies,Health Care Plans,Health Care Providers,Health Information Services,Health Services,Healthcare Plans,Home Improvement Retail,Homebuilding & Construction,Household & Personal Products,IT Services,Industrial Distribution,Industrial Products,Information Technology Services,Infrastructure Operations,Insurance,Insurance - Life,Insurance - Property & Casualty,Insurance - Specialty,Insurance Brokers,Insurance—Diversified,Insurance—Life,Insurance—Property & Casualty,Insurance—Reinsurance,Insurance—Specialty,Integrated Freight & Logistics,Internet,Internet Content & Information,Internet Retail,Leisure,Lodging,Luxury Goods,Major Pharmaceutical Preparations,Manufacturing - Apparel & Furniture,Marine Shipping,Media,Medical Devices,Medical Diagnostics & Research,Medical Distribution,Medical Instruments & Equipment,Medical Instruments & Supplies,Metals & Mining,Mortgage Finance,Oil & Gas - Drilling,Oil & Gas - E&P,Oil & Gas - Integrated,Oil & Gas - Midstream,Oil & Gas - Refining & Marketing,Oil & Gas - Services,Oil & Gas E&P,Oil & Gas Equipment & Services,Oil & Gas Integrated,Oil & Gas Midstream,Oil & Gas Refining & Marketing,Oil and Gas,"Oil, Gas, & Consumable Fuels",Online Media,Other Industrial Metals & Mining,Other Precious Metals & Mining,Packaged Foods,Packaging & Containers,Paper & Paper Products,Personal Services,Publishing,REITs,REIT—Diversified,REIT—Healthcare Facilities,REIT—Hotel & Motel,REIT—Retail,Railroads,Real Estate,Real Estate Services,Real Estate—Development,Real Estate—Diversified,Residential Construction,Resorts & Casinos,Restaurants,Retail,Retail - Apparel & Specialty,Retail - Defensive,Scientific & Technical Instruments,Security & Protection Services,Semiconductor Equipment & Materials,Semiconductors,Shell Companies,Software,Software - Application,Software—Application,Software—Infrastructure,Solar,Specialty Business Services,Specialty Chemicals,Specialty Industrial Machinery,Specialty Retail,Specialty Telecommunications,Staffing & Employment Services,Steel,Telecom Services,Telecommunication Services,Telecommunications,Textile Manufacturing,Tobacco,Tobacco Products,Tools & Accessories,Transportation & Logistics,Travel & Leisure,Travel Services,Truck Manufacturing,Trust,Utilities,Utilities - Independent Power Producers,Utilities - Regulated,Utilities - Regulated Water,Utilities--Regulated Electric,Utilities—Diversified,Utilities—Regulated Electric,Utilities—Regulated Gas,Utilities—Regulated Water,Utilities—Renewable,Waste Management
"Kinzinger, Adam",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kustoff, David",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lamborn, Doug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Langevin, James R.",,,,,,,4,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,14,3,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,18,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,9,,,,,,,,,,,,14,,,,,,,15,,,,,,,,,,3,,,,1,,,,,,,,,,,,,2,,,2,,,,,,,,,,,
"Larson, John B.",1,,1,,,,,,,3,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Latta, Robert E.",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee, Susie",,,6,,,4,,,1,42,5,,,,,22,,8,,,,,,4,,,,,,,13,7,8,27,,12,,11,8,22,,,,,3,,,,9,4,,,,,,1,3,,,,6,2,,6,,,,2,1,,6,13,1,,,,,,,,,,3,,,,7,,,6,6,1,,1,4,7,,,6,16,3,,,,2,,,,,,,,,,,,,5,,,6,,,9,12,,10,,,,,,,9,4,,,6,,,,,,6,,,,26,,10,,33,,,2,,,,22,,,,2,17,,14,20,6,4,,12,2,,,,16,,,1,,,,,,,1,2,,,,,3,29,1,,,,,,,,,,,2,,9
"Loeffler, Kelly",,,7,,1,,7,,,12,2,,,,,,,3,,,,1,,1,1,,,,8,,18,1,,7,,10,,7,8,4,,,,,,,,,20,7,,,,,,,12,,,,,,,,,,,,,,,2,6,,,,,,,,,,,,,,,,,2,,,,,,,,,,13,,,20,12,4,,,,,,,,,,2,,,,,,,,,1,,3,,,2,,,,15,1,1,1,,,,,,,,3,1,,,,,,,1,,,,,,,,,,,,,,21,7,,3,,5,,,,2,,,,,,,,,,,,,,,1,,1,4,3,,,,,,,,,,,,,
"Lofgren, Zoe",,,,,,,,,,6,4,,1,,,2,,13,,,,,,1,4,,,,1,,7,,,5,,1,,3,13,3,,,,,,,,,7,7,,,,,,,10,,,,,,,,,,,,,,,3,1,,,1,,,,,,,1,,,,,,,6,3,,,,,1,,,,1,,,3,1,2,,,,,,,,,,,,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,2,,,,,,,,12,,,,,,,,,,,,4,,7,7,,,,9,,,,,,,,,3,,,,,,,,,,,,2,1,,,,,,14,,,,,,,,1
"Long, Billy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,23,,,,,,,,
"Lowenthal, Alan S.",,,21,,,,,,,27,13,,,,,9,,4,,,,,,,,,,,,,7,,1,14,,13,,3,9,4,,,,,27,,,,3,,,,,,,,9,,,,,,,,,,,,,,,3,,,,,,,,,,,79,,23,,,,,,,,,,,1,,,,,,,4,,,2,,,,,,,,,3,,,,,,6,,,18,1,,,,,,,,,,,,,,,,,,,5,,,,,,8,,12,,,,,,,,,,,,,,22,,,,,125,31,,,10,,,,,,,,,,2,,,,,,,,1,7,,,,,9,,,,,4,,,3
"Lummis, Cynthia M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luria, Elaine",,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malinowski, Tom",,,,,,,,,,18,,,,,,,,1,,,,,,,1,,,,9,,,,,,,,,,2,1,,,,,5,,,,13,,,,1,,1,,4,,,,,,,,,,,,,,10,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,7,,2,,,5,,,,3,19,,4,1,,2,,,,,,,,,,1,,,,,,,2,,,,,1,,,,,,,,,,,,,,2,,,,1,1,2,,,1,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maloney, Sean P.",,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manchin III, Joseph",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manning, Kathy",,,3,,,,,,,5,,,,,,,,2,,,,,,,,,,,3,,3,,,,,4,,,,2,,,,,,,,,4,2,,,,,,,4,,,,2,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,,,,,,,,,,,3,,2,4,,,1,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"Marchant, Kenny",,,2,,,,3,,,6,2,,,,,1,,5,,,,,,,,,,,3,,2,,,2,,,,,1,,,,1,,,,,,1,2,,,,,,,9,,,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,2,,,,,,,,,,5,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,3,,,2,3,6,,,,,1,,,,,5,,,1,,,,,2,,,,,,,1,,,,,4,,8,2,,,1,5,,,,2,,,,,,1,,,,,,,,,1,,2,1,,,,,,2,,,,,,,,
"Marshall, Roger W.",,,,,,,,,,3,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Massie, Thomas",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mast, Brian",,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,3,,,,,1,,,4,,,,,,,,,,,2,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matsui, Doris O.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"McCaul, Michael T.",,,2,,,,,,,22,14,,,,,2,,8,,,,,,,,,,,2,,7,2,,4,,,,,10,6,,,2,,4,,,,2,6,,,,,,,10,,,,,2,,4,,,,2,,,,12,,,,,,,,,,,4,,,,,,,8,6,,,,,,,,2,28,2,,12,,4,,1,,,,,,,,2,,,,,,,,,4,,4,4,,,,,27,,,,,,4,,,,,,12,,,,,,,,2,,,,,2,,,,,,,,,6,8,,,,11,,,,,,,,,,,,,,2,,,,,,,5,,4,2,1,,,,,,,,,,,
"McConnell Jr., A. M.",,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McEachin, Aston D.",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"McHenry, Patrick T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"McKinley, David B.",,,10,,,,,,,22,,,,,,2,,,,,,,,,,,,,,,4,,2,5,,11,,,,6,,,,,2,,,,6,3,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,2,4,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,4,,13,11,,,,4,,,,,,,,2,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,5
"Meijer, Peter",,,4,,,1,,,,16,3,,,,,2,,14,,1,,4,,4,3,,,,3,,9,1,,5,,6,,1,4,4,,,,,1,2,,,6,10,,,3,,,,7,,3,,2,,,,,,,,,,,2,1,2,,,,,,,2,,1,,,,,,,4,2,,,,,2,2,,,4,,,5,,,,,1,3,,,,,,2,,,2,,,1,,,6,4,1,4,3,3,,,2,1,2,1,1,,,1,,,,,8,,,2,3,,,1,3,,,,,,,2,,,,,1,,9,7,,,,13,,,,3,,,,5,5,,,,1,,,,,,,,4,2,,,,,,9,,,,,,,,
"Meng, Grace",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meuser, Daniel",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miller, Carol D.",,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,1,,1,,1,,1,,2,,,,,,,,,7,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,3,,,,,,,,1
"Moore, Blake",,,5,,,,,,,10,,,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,7,,,,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,18,3,,,,6,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,
"Moore, Felix B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moran, Jerry",,,,,,,,,,5,2,,,,,2,,24,,,,,,,4,,,,5,4,4,,,,,,,2,7,10,,,,,,,,,6,4,,,,,,,10,,,,,,,,,,,,,,,6,,,,,,,,,,4,3,,,,,,,8,3,,,,,,,,,,,,3,,3,,,5,,,,,,,2,,,,,,,,,,,,,,,,,3,10,,3,1,,,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,12,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morelle, Joseph D.",,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,
"Murray, Patty",,,8,,,,,,,4,2,,,,,4,,16,,,,,,2,2,,,,4,,3,,,2,,4,,2,7,4,,,,,,,,,10,,,,,,,,13,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,4,,,,4,2,,,,,,,,,,,,,,,,1,,,2,,,,,,,,4,6,4,,2,,,,,,,,,,,,4,,,,6,,,,,,,,,,,,2,,2,6,,,,5,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,10,,,,,,,,
"Newhouse, Dan",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Newman, Marie",,,2,,,,3,,,20,,7,1,,,28,,,,,,,,,1,,,,8,,,,,,,,,,,11,,,,,3,,1,,,,,,,,,,6,,,,,,,,,,,,,,,22,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,2,,,,10,6,4,,,,7,,1,,,4,17,11,,,,7,,,,,,1,,,,,,4,,,,,,,,,,,8,,,,,,,,,,,,,,,2,,,,,9,,16,8,,,,,,,,19,,,,,,,,,,11,,,,,,,19,7,,,1,,,4,,,,,,,,
"O'Halleran, Tom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pallone, Frank",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,
"Pascrell, Bill",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pelosi, Nancy",,,,,,,,,,8,3,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,9,,,,,,,,,,6,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,4,,,,,4,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Perdue Jr., David A.",,,41,,2,38,4,,,108,15,,,,,42,,111,,,,1,,7,17,,,,1,,,16,,68,,123,,39,32,75,,,,,38,,,,45,14,,6,,,,10,113,,,,,,1,7,,,,,4,,1,293,6,,,,,,1,,,,32,,,,,,,4,1,,5,,,,,,6,18,,8,,3,1,,,9,,,,,,,,,,,,,45,,12,4,11,,49,,,,,76,20,244,8,10,,,,9,,3,1,9,,,,45,,,,9,,,,,,,,,,,,13,20,83,60,,,,56,,,,,,,,1,,7,,,,,,,,,3,,38,63,3,,,,,11,,,,,,,,
"Perlmutter, Ed",,,,,,,1,,,5,,,,,,2,,2,,,,,,,,,,,2,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,6,4,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peters, Gary C.",,,1,,,,,,,,5,,,,,1,,,,,,1,,,,,,,,,1,,,,,5,,,3,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,3,,,,,,,,
"Peters, Scott H.",,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pfluger, August L.",,,,,,,,,,,2,,4,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phillips, Dean",1,,3,,,2,10,,,31,10,,,,,5,,33,,,,3,,3,2,,,,8,,12,5,,7,,12,,2,22,18,,,,,1,,,,15,9,,,,,,,1,,,,,,,,,,,,,,2,8,4,,,,,,,,,,,,,,,,,7,2,,,,,,,,5,32,,,7,4,16,,,,,,,,,,,,,,,,2,,,9,12,,6,,1,,,,,,,1,,,,,,,,9,,,4,5,,2,,15,,,,,,,,,,,,1,,11,13,,,,8,,,,,,,,,2,,,,,,,,,,4,,5,3,7,2,,,,17,,,,,,,,
"Price, David E.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reed, John F.",,,,,,,,,,16,10,,,,,,,,,,,,,,7,,,,17,,,,,,,,,2,1,6,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,6,,,,,,,,,,6,,,,,,,,,,,,5,,,,,,,,,,,,8,24,,7,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,,,32,,,,,,,,,,1,,,,,,,,,,,9,,,,,,,,,,,,,,,
"Rice, Tom",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
